T,H,h_per_spin,AC_grain1,AC_grain2,Cn,C_fep
0.5,1.0000442037661,0.06250276273538125,1.0,1.0000101511612507,7.499997045116481,2.7306179865970885
0.75,1.0063670389175319,0.06289793993234574,0.9999999999999999,1.0014049632711943,7.499617806595561,2.730322097306743
1.0,1.0736337685631985,0.0671021105351999,1.0,1.0156560271691857,7.497406664234942,2.726169735778357
1.25,1.3226112480831551,0.0826632030051972,1.0,1.0661334871817063,7.5035478441212575,2.707058705220148
1.5,1.8901612170494366,0.11813507606558979,1.0,1.1751771621369351,7.5666967175840885,2.6558736968922085
1.75,2.901797293129757,0.18136233082060982,1.0,1.3551366439499462,7.758830246569921,2.5543996185693185
2.0,4.418000814523646,0.2761250509077279,1.0,1.5952384926187149,8.058515812076505,2.3925427806468167
2.25,6.314456187584337,0.3946535117240211,1.0,1.8496960028548874,8.256012040801062,2.1830032910978296
2.5,8.273491832934399,0.5170932395583999,1.0,2.0606705510088665,8.114928122722947,1.9625466924937325
2.75,9.989440556892415,0.6243400348057759,1.0,2.2001838960638853,7.6077266222292055,1.7680524949268457
3.0,11.334767466667492,0.7084229666667182,1.0,2.2763293180328708,6.885250696494133,1.6159213567913644
3.25,12.332177739272586,0.7707611087045366,1.0,2.3105350640965305,6.110631906578746,1.5043338517744431
3.5,13.059742235037618,0.8162338896898511,1.0,2.321066452714795,5.381204756924162,1.4243421585436806
3.75,13.593990525608788,0.8496244078505493,0.9999999999999999,2.319411922939308,4.735540248133943,1.3668882144149972
4.0,13.993170250233144,0.8745731406395715,1.0,2.3119193029485783,4.179838546653622,1.3250072070236496
4.25,14.297794117681187,0.8936121323550742,0.9999999999999999,2.301898909879523,3.70669245319749,1.2938524430715537
4.5,14.535250626999956,0.9084531641874972,1.0,2.2910290893620293,3.3046131382168245,1.2701668244781434
4.75,14.724045125938499,0.9202528203711562,1.0,2.280141811464968,2.962060919711357,1.251773404136496
5.0,14.876836356276105,0.9298022722672565,1.0,2.2696344487185294,2.668854955799517,1.2372045719871334
5.25,15.002440812038003,0.9376525507523752,1.0,2.259681501345883,2.4164763725413243,1.2254557434969142
5.5,15.107122498106937,0.9441951561316836,1.0,2.250343488592683,2.1979571422704582,1.2158267926072899
5.75,15.19542163743256,0.949713852339535,1.0,2.2416233917697053,2.0076464034192743,1.2078205460336031
6.0,15.270692398680502,0.9544182749175314,1.0,2.2334961699757607,1.8409677366996675,1.2010773759418767
