label,s_index,topology,structure,max_phi,at_ceiling,channel_bijective,tpm_permutation
W1_S2_C1,2,worker_and,triadic,0.830075,False,False,False
W1_S2_C1,2,counterpart_and,triadic,0.415037,False,False,False
W1_S2_C1,2,symmetric_and,triadic,0.830075,False,False,False
W1_S2_C1,2,worker_or,triadic,0.415037,False,False,False
W1_S2_C1,2,counterpart_or,dyadic,0.000000,False,False,False
W1_S2_C1,2,symmetric_or,triadic,0.830075,False,False,False
W1_S2_C1,2,cross_wor_cand,triadic,0.830075,False,False,False
W1_S2_C1,2,cross_wand_cor,dyadic,0.000000,False,False,False
W1_S2_C1,2,worker_xor,triadic,0.415037,False,True,False
W1_S2_C1,2,counterpart_xor,triadic,2.000000,True,True,False
W1_S2_C1,2,symmetric_xor,triadic,2.000000,True,True,False
W1_S2_C1,2,worker_xnor,triadic,2.000000,True,True,False
W1_S2_C1,2,counterpart_xnor,triadic,0.415037,False,True,False
W1_S2_C1,2,symmetric_xnor,triadic,2.000000,True,True,False
W1_S4_C1,4,worker_and,triadic,0.415037,False,False,False
W1_S4_C1,4,counterpart_and,triadic,0.830075,False,False,False
W1_S4_C1,4,symmetric_and,triadic,0.830075,False,False,False
W1_S4_C1,4,worker_or,dyadic,0.000000,False,False,False
W1_S4_C1,4,counterpart_or,triadic,0.415037,False,False,False
W1_S4_C1,4,symmetric_or,triadic,0.830075,False,False,False
W1_S4_C1,4,cross_wor_cand,dyadic,0.000000,False,False,False
W1_S4_C1,4,cross_wand_cor,triadic,0.830075,False,False,False
W1_S4_C1,4,worker_xor,triadic,2.000000,True,True,False
W1_S4_C1,4,counterpart_xor,triadic,0.415037,False,True,False
W1_S4_C1,4,symmetric_xor,triadic,2.000000,True,True,False
W1_S4_C1,4,worker_xnor,triadic,0.415037,False,True,False
W1_S4_C1,4,counterpart_xnor,triadic,2.000000,True,True,False
W1_S4_C1,4,symmetric_xnor,triadic,2.000000,True,True,False
W1_S11_C1,11,worker_and,triadic,0.415037,False,False,False
W1_S11_C1,11,counterpart_and,dyadic,0.000000,False,False,False
W1_S11_C1,11,symmetric_and,triadic,0.830075,False,False,False
W1_S11_C1,11,worker_or,triadic,0.830075,False,False,False
W1_S11_C1,11,counterpart_or,triadic,0.415037,False,False,False
W1_S11_C1,11,symmetric_or,triadic,0.830075,False,False,False
W1_S11_C1,11,cross_wor_cand,dyadic,0.000000,False,False,False
W1_S11_C1,11,cross_wand_cor,triadic,0.830075,False,False,False
W1_S11_C1,11,worker_xor,triadic,2.000000,True,True,False
W1_S11_C1,11,counterpart_xor,triadic,0.415037,False,True,False
W1_S11_C1,11,symmetric_xor,triadic,2.000000,True,True,False
W1_S11_C1,11,worker_xnor,triadic,0.415037,False,True,False
W1_S11_C1,11,counterpart_xnor,triadic,2.000000,True,True,False
W1_S11_C1,11,symmetric_xnor,triadic,2.000000,True,True,False
W1_S13_C1,13,worker_and,dyadic,0.000000,False,False,False
W1_S13_C1,13,counterpart_and,triadic,0.415037,False,False,False
W1_S13_C1,13,symmetric_and,triadic,0.830075,False,False,False
W1_S13_C1,13,worker_or,triadic,0.415037,False,False,False
W1_S13_C1,13,counterpart_or,triadic,0.830075,False,False,False
W1_S13_C1,13,symmetric_or,triadic,0.830075,False,False,False
W1_S13_C1,13,cross_wor_cand,triadic,0.830075,False,False,False
W1_S13_C1,13,cross_wand_cor,dyadic,0.000000,False,False,False
W1_S13_C1,13,worker_xor,triadic,0.415037,False,True,False
W1_S13_C1,13,counterpart_xor,triadic,2.000000,True,True,False
W1_S13_C1,13,symmetric_xor,triadic,2.000000,True,True,False
W1_S13_C1,13,worker_xnor,triadic,2.000000,True,True,False
W1_S13_C1,13,counterpart_xnor,triadic,0.415037,False,True,False
W1_S13_C1,13,symmetric_xnor,triadic,2.000000,True,True,False
W2_S2_C2,2,worker_and,dyadic,0.000000,False,False,False
W2_S2_C2,2,counterpart_and,triadic,0.415037,False,False,False
W2_S2_C2,2,symmetric_and,triadic,0.830075,False,False,False
W2_S2_C2,2,worker_or,triadic,0.415037,False,False,False
W2_S2_C2,2,counterpart_or,triadic,0.830075,False,False,False
W2_S2_C2,2,symmetric_or,triadic,0.830075,False,False,False
W2_S2_C2,2,cross_wor_cand,triadic,0.830075,False,False,False
W2_S2_C2,2,cross_wand_cor,dyadic,0.000000,False,False,False
W2_S2_C2,2,worker_xor,triadic,0.415037,False,True,False
W2_S2_C2,2,counterpart_xor,triadic,2.000000,True,True,False
W2_S2_C2,2,symmetric_xor,triadic,2.000000,True,True,False
W2_S2_C2,2,worker_xnor,triadic,2.000000,True,True,False
W2_S2_C2,2,counterpart_xnor,triadic,0.415037,False,True,False
W2_S2_C2,2,symmetric_xnor,triadic,2.000000,True,True,False
W2_S4_C2,4,worker_and,triadic,0.415037,False,False,False
W2_S4_C2,4,counterpart_and,dyadic,0.000000,False,False,False
W2_S4_C2,4,symmetric_and,triadic,0.830075,False,False,False
W2_S4_C2,4,worker_or,triadic,0.830075,False,False,False
W2_S4_C2,4,counterpart_or,triadic,0.415037,False,False,False
W2_S4_C2,4,symmetric_or,triadic,0.830075,False,False,False
W2_S4_C2,4,cross_wor_cand,dyadic,0.000000,False,False,False
W2_S4_C2,4,cross_wand_cor,triadic,0.830075,False,False,False
W2_S4_C2,4,worker_xor,triadic,2.000000,True,True,False
W2_S4_C2,4,counterpart_xor,triadic,0.415037,False,True,False
W2_S4_C2,4,symmetric_xor,triadic,2.000000,True,True,False
W2_S4_C2,4,worker_xnor,triadic,0.415037,False,True,False
W2_S4_C2,4,counterpart_xnor,triadic,2.000000,True,True,False
W2_S4_C2,4,symmetric_xnor,triadic,2.000000,True,True,False
W2_S11_C2,11,worker_and,triadic,0.415037,False,False,False
W2_S11_C2,11,counterpart_and,triadic,0.830075,False,False,False
W2_S11_C2,11,symmetric_and,triadic,0.830075,False,False,False
W2_S11_C2,11,worker_or,dyadic,0.000000,False,False,False
W2_S11_C2,11,counterpart_or,triadic,0.415037,False,False,False
W2_S11_C2,11,symmetric_or,triadic,0.830075,False,False,False
W2_S11_C2,11,cross_wor_cand,dyadic,0.000000,False,False,False
W2_S11_C2,11,cross_wand_cor,triadic,0.830075,False,False,False
W2_S11_C2,11,worker_xor,triadic,2.000000,True,True,False
W2_S11_C2,11,counterpart_xor,triadic,0.415037,False,True,False
W2_S11_C2,11,symmetric_xor,triadic,2.000000,True,True,False
W2_S11_C2,11,worker_xnor,triadic,0.415037,False,True,False
W2_S11_C2,11,counterpart_xnor,triadic,2.000000,True,True,False
W2_S11_C2,11,symmetric_xnor,triadic,2.000000,True,True,False
W2_S13_C2,13,worker_and,triadic,0.830075,False,False,False
W2_S13_C2,13,counterpart_and,triadic,0.415037,False,False,False
W2_S13_C2,13,symmetric_and,triadic,0.830075,False,False,False
W2_S13_C2,13,worker_or,triadic,0.415037,False,False,False
W2_S13_C2,13,counterpart_or,dyadic,0.000000,False,False,False
W2_S13_C2,13,symmetric_or,triadic,0.830075,False,False,False
W2_S13_C2,13,cross_wor_cand,triadic,0.830075,False,False,False
W2_S13_C2,13,cross_wand_cor,dyadic,0.000000,False,False,False
W2_S13_C2,13,worker_xor,triadic,0.415037,False,True,False
W2_S13_C2,13,counterpart_xor,triadic,2.000000,True,True,False
W2_S13_C2,13,symmetric_xor,triadic,2.000000,True,True,False
W2_S13_C2,13,worker_xnor,triadic,2.000000,True,True,False
W2_S13_C2,13,counterpart_xnor,triadic,0.415037,False,True,False
W2_S13_C2,13,symmetric_xnor,triadic,2.000000,True,True,False
