label,topology,gate_class,structure,max_phi,at_ceiling
W1_S2_C1,worker_and,monotone,triadic,0.830075,False
W1_S2_C1,counterpart_and,monotone,triadic,0.415037,False
W1_S2_C1,symmetric_and,monotone,triadic,0.830075,False
W1_S2_C1,worker_or,monotone,triadic,0.415037,False
W1_S2_C1,counterpart_or,monotone,dyadic,0.000000,False
W1_S2_C1,symmetric_or,monotone,triadic,0.830075,False
W1_S2_C1,cross_wor_cand,monotone,triadic,0.830075,False
W1_S2_C1,cross_wand_cor,monotone,dyadic,0.000000,False
W1_S2_C1,symmetric_xnor,parity,triadic,2.000000,True
W1_S4_C1,worker_and,monotone,triadic,0.415037,False
W1_S4_C1,counterpart_and,monotone,triadic,0.830075,False
W1_S4_C1,symmetric_and,monotone,triadic,0.830075,False
W1_S4_C1,worker_or,monotone,dyadic,0.000000,False
W1_S4_C1,counterpart_or,monotone,triadic,0.415037,False
W1_S4_C1,symmetric_or,monotone,triadic,0.830075,False
W1_S4_C1,cross_wor_cand,monotone,dyadic,0.000000,False
W1_S4_C1,cross_wand_cor,monotone,triadic,0.830075,False
W1_S4_C1,symmetric_xnor,parity,triadic,2.000000,True
W1_S11_C1,worker_and,monotone,triadic,0.415037,False
W1_S11_C1,counterpart_and,monotone,dyadic,0.000000,False
W1_S11_C1,symmetric_and,monotone,triadic,0.830075,False
W1_S11_C1,worker_or,monotone,triadic,0.830075,False
W1_S11_C1,counterpart_or,monotone,triadic,0.415037,False
W1_S11_C1,symmetric_or,monotone,triadic,0.830075,False
W1_S11_C1,cross_wor_cand,monotone,dyadic,0.000000,False
W1_S11_C1,cross_wand_cor,monotone,triadic,0.830075,False
W1_S11_C1,symmetric_xnor,parity,triadic,2.000000,True
W1_S13_C1,worker_and,monotone,dyadic,0.000000,False
W1_S13_C1,counterpart_and,monotone,triadic,0.415037,False
W1_S13_C1,symmetric_and,monotone,triadic,0.830075,False
W1_S13_C1,worker_or,monotone,triadic,0.415037,False
W1_S13_C1,counterpart_or,monotone,triadic,0.830075,False
W1_S13_C1,symmetric_or,monotone,triadic,0.830075,False
W1_S13_C1,cross_wor_cand,monotone,triadic,0.830075,False
W1_S13_C1,cross_wand_cor,monotone,dyadic,0.000000,False
W1_S13_C1,symmetric_xnor,parity,triadic,2.000000,True
W2_S2_C2,worker_and,monotone,dyadic,0.000000,False
W2_S2_C2,counterpart_and,monotone,triadic,0.415037,False
W2_S2_C2,symmetric_and,monotone,triadic,0.830075,False
W2_S2_C2,worker_or,monotone,triadic,0.415037,False
W2_S2_C2,counterpart_or,monotone,triadic,0.830075,False
W2_S2_C2,symmetric_or,monotone,triadic,0.830075,False
W2_S2_C2,cross_wor_cand,monotone,triadic,0.830075,False
W2_S2_C2,cross_wand_cor,monotone,dyadic,0.000000,False
W2_S2_C2,symmetric_xnor,parity,triadic,2.000000,True
W2_S4_C2,worker_and,monotone,triadic,0.415037,False
W2_S4_C2,counterpart_and,monotone,dyadic,0.000000,False
W2_S4_C2,symmetric_and,monotone,triadic,0.830075,False
W2_S4_C2,worker_or,monotone,triadic,0.830075,False
W2_S4_C2,counterpart_or,monotone,triadic,0.415037,False
W2_S4_C2,symmetric_or,monotone,triadic,0.830075,False
W2_S4_C2,cross_wor_cand,monotone,dyadic,0.000000,False
W2_S4_C2,cross_wand_cor,monotone,triadic,0.830075,False
W2_S4_C2,symmetric_xnor,parity,triadic,2.000000,True
W2_S11_C2,worker_and,monotone,triadic,0.415037,False
W2_S11_C2,counterpart_and,monotone,triadic,0.830075,False
W2_S11_C2,symmetric_and,monotone,triadic,0.830075,False
W2_S11_C2,worker_or,monotone,dyadic,0.000000,False
W2_S11_C2,counterpart_or,monotone,triadic,0.415037,False
W2_S11_C2,symmetric_or,monotone,triadic,0.830075,False
W2_S11_C2,cross_wor_cand,monotone,dyadic,0.000000,False
W2_S11_C2,cross_wand_cor,monotone,triadic,0.830075,False
W2_S11_C2,symmetric_xnor,parity,triadic,2.000000,True
W2_S13_C2,worker_and,monotone,triadic,0.830075,False
W2_S13_C2,counterpart_and,monotone,triadic,0.415037,False
W2_S13_C2,symmetric_and,monotone,triadic,0.830075,False
W2_S13_C2,worker_or,monotone,triadic,0.415037,False
W2_S13_C2,counterpart_or,monotone,dyadic,0.000000,False
W2_S13_C2,symmetric_or,monotone,triadic,0.830075,False
W2_S13_C2,cross_wor_cand,monotone,triadic,0.830075,False
W2_S13_C2,cross_wand_cor,monotone,dyadic,0.000000,False
W2_S13_C2,symmetric_xnor,parity,triadic,2.000000,True
