label,topology,excluded_singleton,excl_norm,max_phi
W1_S2_C1,counterpart_xor,W,1.0,2.0
W1_S2_C1,worker_xnor,C,1.0,2.0
W1_S4_C1,worker_xor,C,1.0,2.0
W1_S4_C1,counterpart_xnor,W,1.0,2.0
W1_S11_C1,worker_xor,C,1.0,2.0
W1_S11_C1,counterpart_xnor,W,1.0,2.0
W1_S13_C1,counterpart_xor,W,1.0,2.0
W1_S13_C1,worker_xnor,C,1.0,2.0
W2_S2_C2,counterpart_xor,W,1.0,2.0
W2_S2_C2,worker_xnor,C,1.0,2.0
W2_S4_C2,worker_xor,C,1.0,2.0
W2_S4_C2,counterpart_xnor,W,1.0,2.0
W2_S11_C2,worker_xor,C,1.0,2.0
W2_S11_C2,counterpart_xnor,W,1.0,2.0
W2_S13_C2,counterpart_xor,W,1.0,2.0
W2_S13_C2,worker_xnor,C,1.0,2.0
