p,phi_W,phi_S,gap_W_minus_S,interior,self_ctrl_S_minus_S
0.0,2.0000000000,2.0000000000,0.0000000000,0,0.00e+00
0.01,0.9756454260,1.8993744758,-0.9237290498,1,0.00e+00
0.02,0.9514365813,1.8038314649,-0.8523948836,1,0.00e+00
0.03,0.9273749528,1.7130496377,-0.7856746849,1,0.00e+00
0.04,0.9034620585,1.6267333321,-0.7232712735,1,0.00e+00
0.05,0.8796994476,1.5446100910,-0.6649106433,1,0.00e+00
0.06,0.8560887022,1.4664284766,-0.6103397745,1,0.00e+00
0.07,0.8326314378,1.3919561238,-0.5593246860,1,0.00e+00
0.08,0.8093293050,1.3209780035,-0.5116486985,1,0.00e+00
0.09,0.7861839899,1.2532948709,-0.4671108810,1,0.00e+00
0.1,0.7631972159,1.1887218755,-0.4255246596,1,0.00e+00
0.11,0.7403707447,1.1270873140,-0.3867165694,1,0.00e+00
0.12,0.7177063774,1.0682315091,-0.3505251317,1,0.00e+00
0.13,0.6952059563,1.0120058000,-0.3167998437,1,0.00e+00
0.14,0.6728713658,0.9582716321,-0.2854002662,1,0.00e+00
0.15,0.6507045344,0.9068997343,-0.2561951999,1,0.00e+00
0.16,0.6287074357,0.8577693749,-0.2290619392,1,0.00e+00
0.17,0.6068820905,0.8107676865,-0.2038855960,1,0.00e+00
0.18,0.5852305682,0.7657890544,-0.1805584862,1,0.00e+00
0.19,0.5637549886,0.7227345597,-0.1589795711,1,0.00e+00
0.2,0.5424575241,0.6815114731,-0.1390539490,1,0.00e+00
0.21,0.5213404011,0.6420327934,-0.1206923923,1,0.00e+00
0.22,0.5004059027,0.6042168261,-0.1038109234,1,0.00e+00
0.23,0.4796563702,0.5679867986,-0.0883304284,1,0.00e+00
0.24,0.4590942060,0.5332705083,-0.0741763023,1,0.00e+00
0.25,0.4387218755,0.5000000000,-0.0612781245,1,0.00e+00
0.26,0.4185419101,0.4681112701,-0.0495693600,1,0.00e+00
0.27,0.3985569094,0.4375439956,-0.0389870862,1,0.00e+00
0.28,0.3787695444,0.4082412843,-0.0294717399,1,0.00e+00
0.29,0.3591825601,0.3801494453,-0.0209668852,1,0.00e+00
0.3,0.3397987790,0.3532177784,-0.0134189994,1,0.00e+00
0.31,0.3206211042,0.3273983785,-0.0067772743,1,0.00e+00
0.32,0.3016525230,0.3026459567,-0.0009934336,1,0.00e+00
0.33,0.2828961105,0.2789176739,0.0039784366,1,0.00e+00
0.34,0.2643550335,0.2561729879,0.0081820456,1,0.00e+00
0.35,0.2460325551,0.2343735118,0.0116590434,1,0.00e+00
0.36,0.2279320385,0.2134828820,0.0144491566,1,0.00e+00
0.37,0.2100569522,0.1934666376,0.0165903146,1,0.00e+00
0.38,0.1924108748,0.1742921073,0.0181187675,1,0.00e+00
0.39,0.1749975002,0.1559283051,0.0190691951,1,0.00e+00
0.4,0.1578206435,0.1383458331,0.0194748104,1,0.00e+00
0.41,0.1408842472,0.1215167920,0.0193674552,1,0.00e+00
0.42,0.1241923871,0.1054146971,0.0187776900,1,0.00e+00
0.43,0.1077492799,0.0900144009,0.0177348790,1,0.00e+00
0.44,0.0915592901,0.0752920210,0.0162672691,1,0.00e+00
0.45,0.0756269381,0.0612248726,0.0144020655,1,0.00e+00
0.46,0.0599569087,0.0477914067,0.0121655020,1,0.00e+00
0.47,0.0445540603,0.0349711518,0.0095829085,1,0.00e+00
0.48,0.0294234348,0.0227446605,0.0066787743,1,0.00e+00
0.49,0.0145702676,0.0110934587,0.0034768090,1,0.00e+00
0.5,0.0000000000,0.0000000000,0.0000000000,0,0.00e+00
